Order Date,Condition,Sleeve Condition,Price in your currency
2022-11-24,Mint (M),Mint (M),$65.00
2022-11-21,Very Good Plus (VG+),Very Good Plus (VG+),$67.71
2022-11-05,Near Mint (NM or M-),Near Mint (NM or M-),$71.63
,Very Good (VG),Very Good (VG),$50.00
2022-08-11,Near Mint (NM or M-),Near Mint (NM or M-),$85.00
2022-08-09,Very Good Plus (VG+),Very Good Plus (VG+),$50.00
2022-06-18,Very Good Plus (VG+),Very Good Plus (VG+),$25.00
2022-03-18,Near Mint (NM or M-),Near Mint (NM or M-),$32.29
2022-03-17,Near Mint (NM or M-),Very Good Plus (VG+),$44.99
2022-02-12,Mint (M),Mint (M),$80.00
2021-11-29,Mint (M),Mint (M),$75.00
2021-11-26,Very Good (VG),Very Good (VG),$34.90
2021-11-24,Very Good Plus (VG+),Very Good (VG),$48.18
2021-10-18,Very Good (VG),Good Plus (G+),$17.18
2021-09-14,Near Mint (NM or M-),Near Mint (NM or M-),$79.99
2021-09-06,Near Mint (NM or M-),Very Good Plus (VG+),$65.00
2021-08-27,Very Good (VG),Very Good Plus (VG+),$30.00
2021-08-18,Very Good (VG),Very Good (VG),$24.50
2021-07-22,Near Mint (NM or M-),Very Good (VG),$37.00
2021-07-04,Very Good (VG),Good Plus (G+),$18.00
2021-02-25,Mint (M),Mint (M),$22.98
2020-08-05,Very Good Plus (VG+),Very Good Plus (VG+),$19.00